GRUPOS,Value,Count
0,cuales Centros comerciales: GRAN ESTACION,39
0,cuales Centros comerciales: ANDINO,30
0,cuales Centros comerciales: CENTRO MAYOR,22
0,cuales Zonas de la ciudad: CENTRO,22
0,cuales Centros comerciales: TITAN,18
1,cuales Centros comerciales: GRAN ESTACION,47
1,cuales Centros comerciales: ANDINO,29
1,cuales Zonas de la ciudad: CANDELARIA,27
1,cuales Zonas de la ciudad: CENTRO,22
1,cuales Restaurantes: CREPES,11
2,cuales Centros comerciales: CENTRO MAYOR,31
2,cuales Zonas de la ciudad: CENTRO,30
2,cuales iglesias: MONSERRATE,30
2,cuales Centros comerciales: GRAN ESTACION,25
2,cuales Zonas de la ciudad: CANDELARIA,21
3,cuales iglesias: MONSERRATE,36
3,cuales Centros comerciales: ANDINO,31
3,cuales Museos: ORO,31
3,cuales Zonas de la ciudad: CANDELARIA,25
3,cuales Centros comerciales: GRAN ESTACION,20
4,cuales Centros comerciales: ANDINO,47
4,cuales Zonas de la ciudad: CANDELARIA,44
4,cuales iglesias: MONSERRATE,37
4,cuales Centros comerciales: GRAN ESTACION,36
4,cuales Restaurantes: CREPES,29
5,cuales Centros comerciales: GRAN ESTACION,46
5,cuales iglesias: MONSERRATE,41
5,cuales Centros comerciales: ANDINO,37
5,cuales Zonas de la ciudad: CANDELARIA,33
5,cuales Centros comerciales: SANTA FE,27
6,cuales Centros comerciales: ANDINO,23
6,cuales Museos: ORO,22
6,cuales iglesias: MONSERRATE,13
6,cuales Centros comerciales: GRAN ESTACION,11
6,"cuales Región (Meta, Boyaca, Huila): VILLA DE LEYVA",11
7,cuales Centros comerciales: GRAN ESTACION,27
7,cuales Zonas de la ciudad: CENTRO,19
7,cuales Centros comerciales: CENTRO MAYOR,16
7,cuales Centros comerciales: ANDINO,14
7,cuales Centros comerciales: SANTA FE,14
0,Suelen llevar de 27 a 187 dolares,"[27, 187]"
1,Suelen llevar de 27 a 481 dolares,"[27, 481]"
2,Suelen llevar de 50 a 321 dolares,"[50, 321]"
3,Suelen llevar de 200 a 1500 dolares,"[200, 1500]"
4,Suelen llevar de 67 a 427 dolares,"[67, 427]"
5,Suelen llevar de 67 a 481 dolares,"[67, 481]"
6,Suelen llevar de 107 a 1500 dolares,"[107, 1500]"
7,Suelen llevar de 30 a 267 dolares,"[30, 267]"
