,name,center_coordinates,zoom,kpi_crime,number_of_touristic_attractions,Hotel_mean_price
0,CIUDAD BOLIVAR,"[4.482460265935783, -74.16195890440652]",10,3137,2,$ 84.382
1,SUBA,"[4.763208121309928, -74.0758452755469]",10.5,6640,15,$ 199.249
2,RAFAEL URIBE URIBE,"[4.566476900860273, -74.11336318293525]",12,2428,0,$ 164.493
3,KENNEDY,"[4.6303473513560895, -74.15266762383382]",12,7187,11,$ 180.241
4,LOS MARTIRES,"[4.607155934954456, -74.08794786812679]",13,2549,16,$ 199.535.
5,SANTA FE,"[4.593972728724716, -74.0362175815148]",11.5,3099,92,$ 123.896
6,BARRIOS UNIDOS,"[4.669566933458008, -74.07355160510068]",12,2706,13,$ 168.478
7,FONTIBON,"[4.678182925952192, -74.14015130074624]",12,4128,21,$ 195.151
8,ENGATIVA,"[4.701125563272901, -74.113187703298]",11,6709,10,$ 195.121
9,CANDELARIA,"[4.596605075136378, -74.07207079532802]",13,561,113,$ 107.004
10,CHAPINERO,"[4.644982720078637, -74.03688302787386]",11.5,4824,41,$ 293.346
11,ANTONIO NARIÑO,"[4.588770674796082, -74.10284240061449]",12,1519,2,$ 337.271
12,TEUSAQUILLO,"[4.641173586592107, -74.08576901958143]",12,3196,49,$ 196.588
13,SAN CRISTOBAL,"[4.548749008988841, -74.06607256050648]",11.5,2005,8,$ 154.538
14,USAQUEN,"[4.742092413856286, -74.02782483459404]",10.5,4342,22,$ 220.931
15,TUNJUELITO,"[4.574841398493447, -74.13598945142014]",12,1509,4,$ 143.390
16,BOSA,"[4.621779959835884, -74.19438893446508]",12,3890,4,$ 50.000
17,PUENTE ARANDA,"[4.616245470318945, -74.111580233529]",12,3123,4,$ 120.946
18,SUMAPAZ,"[4.036568747869632, -74.25697871800469]",9,1,2,No Data
19,USME,"[4.390025128368803, -74.14280649581936]",10,1443,11,No Data
