Unnamed: 0,name,localidad,latitude,longitude,type,color
0,C.C. Iserra 100,BARRIOS UNIDOS,4.688481,-74.063971,Paradas SITP,#FDF202
1,Br. Rincón del Chicó,USAQUEN,4.684091,-74.045914,Paradas SITP,#FDF202
2,Gimnasio Iragua,SUBA,4.759867,-74.06635,Paradas SITP,#FDF202
3,Br. Julio Flórez,SUBA,4.689504,-74.071439,Paradas SITP,#FDF202
4,Avenida Calle 80,BARRIOS UNIDOS,4.682626,-74.080392,Paradas SITP,#FDF202
5,Br. Pablo VI Norte,TEUSAQUILLO,4.651927,-74.084384,Paradas SITP,#FDF202
6,Avenida Calle 13,KENNEDY,4.63811,-74.117724,Paradas SITP,#FDF202
7,Br. San Francisco,PUENTE ARANDA,4.625491,-74.108012,Paradas SITP,#FDF202
8,Br. Hipotecho Sur,KENNEDY,4.619447,-74.126021,Paradas SITP,#FDF202
9,Br. Alquería La Fragua II,KENNEDY,4.598327,-74.136273,Paradas SITP,#FDF202
10,Pq. Lagunetas,TUNJUELITO,4.589934,-74.145558,Paradas SITP,#FDF202
11,Br. Arborizadora Baja,TUNJUELITO,4.577435,-74.141362,Paradas SITP,#FDF202
12,Funeraria Claret,RAFAEL URIBE URIBE,4.573561,-74.123687,Paradas SITP,#FDF202
13,Avenida 1 de Mayo,SAN CRISTOBAL,4.571172,-74.089465,Paradas SITP,#FDF202
14,AC 80,BARRIOS UNIDOS,4.682185,-74.08094,Paradas SITP,#FDF202
15,Br. San Felipe,BARRIOS UNIDOS,4.662386,-74.066056,Paradas SITP,#FDF202
16,Br. Barrancas Perlas del Norte,USAQUEN,4.728632,-74.026476,Paradas SITP,#FDF202
17,Br. Iragua,BOSA,4.759618,-74.066025,Paradas SITP,#FDF202
18,Niza Norte,SUBA,4.711234,-74.078999,Paradas SITP,#FDF202
19,Br. Bonanza,ENGATIVA,4.690327,-74.092653,Paradas SITP,#FDF202
20,Br. Nicolás de Federmann,TEUSAQUILLO,4.650901,-74.084514,Paradas SITP,#FDF202
21,Br. Granjas de Techo,FONTIBON,4.64112,-74.114708,Paradas SITP,#FDF202
