,name,address,description,localidad,latitude,longitude
0,Andino,Carrera 11 #82-71,"Centro comercial marcas variadas. Plazoleta de comidas, parqueadero vigilado.",Chapinero,-74.05257259999999,4.666848
1,Apolo,Calle 16 #8-95,Centro comercial.,Santa Fé,-74.0743945,4.603365699999999
2,Asturias de Oviedo,Carrera 10 #1-50 Vía Guaymaral,Centro comercial.,Municipios Aledaños,-74.074463,4.8205293
3,Avenida 19,Calle 19 #9-43,Centro comercial de ópticas y restaurantes.,Santa Fé,-74.0735603,4.6063368
4,Bahia,Avenida Suba #122-20,Centro comercial con locales al aire libre. Restaurantes.,Suba,-74.07090199999999,4.7074182
5,Antares,Autopista Sur #Cra 4 # 31-40,Centro comercial.,Municipios Aledaños,-74.0999404,4.6043553
6,Artesanías de la 53,Calle 53 #18-31,"Centro comercial artesanal. Decoracion de cuadros infantiles en arte contry, venta de articulos navideños; cursos de todo tipo de tecnicas en decoracion artesanal.",Teusaquillo,-74.0701246,4.6408915
7,Atlantis Plaza,Calle 81 #13-05,Centro comercial de marcas.,Chapinero,-74.0549716,4.6661196
8,Avenida Chile,Calle 72 #10-34,Centro comercial.,Chapinero,-74.05806989999999,4.65745
9,Bahia Outlet,Carrera 6 #24-12 sur,Centro comercial de outlets.,San Cristóbal,-74.0932603,4.5705623
10,Bazaar Alsacia,Calle 12 B #71 D 61,Centro comercial multimarcas.,Kennedy,-74.12970410000001,4.6452352
11,Bazar del 20 de Julio,Carrera 6 #20-25 sur,Centro comercial de productos variados.,San Cristóbal,-74.093612,4.570088999999999
12,Bomaires,Transversal 71D #6-61 Sur,Centro comercial.,Kennedy,-74.1356226,4.63166
13,Bulevar Niza,#Local 127-29,Centro comercial de diferentes marcas.,Suba,-74.1075042,4.746237799999999
14,Calima,Calle 19 #28-80,Centro comercial multimarcas.,Puente Aranda,-74.08567699999999,4.618495999999999
15,Bazaar de Chia,Avenida Bojaca #Lote El Jardin B y el Jardin 2,Centro comercial multimarcas.,Municipios Aledaños,-74.341776,4.732618
16,Belmira Plaza,Carrera 7 #140-47,Centro comercial.,Usaquén,-74.0290232,4.716549
17,Bulevar 53,Carrera 20 #53-10,Centro comercial.,Teusaquillo,-74.0712195,4.6413769
18,Cafam Floresta Mundo Comercial,Carrera 68 #96-50,"Centro comercial y supermercado de víveres, frutas y verduras. Parqueadero gratuito de 6 a. m. a 11 p. m.",Suba,-74.07475269999999,4.6871376
19,Calle Real de La Candelaria,Carrera 7 #11-76,"Centro comercial de marcas, artesanías.",Candelaria,-74.0746236,4.598591
20,Carolina,Carrera 19 #16-29 sur,Centro comercial. Vestidos. Comunicaciones.,Antonio Nariño,-74.1007675,4.5864748
21,Cedritos 151,Calle 150 #16-56,Centro comercial.,Usaquén,-74.0415333,4.7324009
22,Centro 93,Carrera 15 #93-60,Centro comercial. Casas de cambio. Bancos. Mercado artesanal los sábados de 9:00 am a 6:00 pm.,Chapinero,-74.05138149999999,4.6772333
23,Centro Comercial Plaza Norte,Calle 187 #20-85,Centro comercial plaza norte - almacenes de cadena - restaurantes- veterinarias - miscelanea - salones de eventos - variedades - peluquerias- y mucho mas.,Usaquén,-74.04294879999999,4.7629188
24,Centro de Alta Tecnología,Carrera 15 #77-05,Centro especializado en tecnología.,Chapinero,-74.0586793,4.6639294
25,Carrera Centro Comercial Automotriz,Avenida Americas #50-15,Centro comercial.,Puente Aranda,-74.10833819999999,4.626060799999999
26,Centro 21,Carrera 10 #21-06,Centro comercial.,Antonio Nariño,-74.07307,4.608437200000001
27,Centro Chia,Avenida Pradilla #900 Este,"Complejo comercial a las afueras de Bogotá, servicio de parqueadero, multiparque, almacenes y restaurantes.",Municipios Aledaños,-74.037081,4.866575699999999
28,Centro Comercial San Andresito Norte,Calle 195 #21-48,Centro comercial.,Usaquén,-74.04169060000001,4.772954299999999
29,Centro de diseño Portobello,Calle 93B #11A-84,Centro comercial especializado en diseño.,Chapinero,-74.0479781,4.6773006
30,Centro Mayor Centro Comercial,Avenida NQS #Calle 38A sur,"El centro comercial más grande de Colombia, grande en diversión, grande en tamaño, grande en emociones y grande en variedad con las mejores marcas.",Antonio Nariño,-74.12429399999999,4.5935622
31,Chico Centro,Carrera 15 #95-34,Centro comercial.,Chapinero,-74.04940479999999,4.6810828
32,Ciprés Plaza,Carrera 50 #21-41,Centro comercial.,Puente Aranda,-74.1008761,4.636288899999999
33,Conjunto comercial Procoil,Calle 19 #3a-43,Conjunto residencial con locales.,Santa Fé,-74.0688839,4.603196
34,Diver Plaza Alamos,Transversal 99 #70a-89,Centro comercial.,Engativá,-74.1100939,4.695254
35,Centro Suba,Calle 145 #91-19,Centro comercial.,Suba,-74.0863026,4.7377259
36,Chico Plaza,Carrera 15 #99-13,Edificio con locales comerciales.,Chapinero,-74.04869339999999,4.683970599999999
37,Ciudad Tunal,Calle 47b sur #24b-33,Centro comercial.,Tunjuelito,-74.1302354,4.5779008
38,Cosmos 64,Calle 64 #11-37,Centro comercial.,Chapinero,-74.0630128,4.6504724
39,Ecocentro,Carrera 27 #53-61,Centro comercial.,Teusaquillo,-74.0759618,4.6429746
40,Ecoplaza,Carrera 3 #15-57,Centro Comercial.,Municipios Aledaños,-74.0701579,4.6005891
41,El Gran 20,Calle 27 sur #6-60,Centro Comercial.,San Cristóbal,-74.0951477,4.5697902
42,El GranSan,Carrera 10 #9-37,Centro comercial.,Santa Fé,-74.0791745,4.5987205
43,El Retiro,Calle 81 #11-94,"El centro comercial de más alto perfil de Bogotá. Un proyecto pensado y dirigido a un cliente que caricía de un lugar ideal para hacer sus compras; un punto gourmet de moda, único en Colombia.",Chapinero,-74.054294,4.665751
44,Ferrocarril Plaza,Carrera 18 #12-79/87,Centro comercial de variedades.,Mártires,-74.08383359999999,4.606402
45,El Fundador,Carrera 9 #14-33,Centro comercial.,Santa Fé,-74.0752783,4.602713899999999
46,El Gran Madrugón de la calle 13,Avenida Calle 13 #28-18,Bodegas de almacénes de ropa y artículos varios. Bodegas populares.,Mártires,-74.0902771,4.6131413
47,El Regalazo,Calle 22 sur #6-20,Centro comercial.,San Cristóbal,-74.0917048,4.5726735
48,El Ring,Calle 13 #15-41/45,Centro comercial.,Mártires,-74.0811954,4.6043536
49,Fiesta Fontibón,Carrera 100 #18-51,Centro comercial.,Fontibón,-74.1443991,4.6744458
50,Fiesta Suba,Calle 147 #101-56,Centro comercial.,Suba,-74.0924656,4.7444042
51,Fontanar,Vía Cajicá #00,Centro comercial multimarcas.,Municipios Aledaños,-74.0377866,4.8671805
52,Gran Estación,Avenida Calle 26 #62-47,Centro comercial de variedades.,Teusaquillo,-74.101491,4.6478715
53,Grandes Marcas,Carrera 69 #98A-38,Bodega de las grandes marcas.,Suba,-74.0747397,4.6911546
54,Halley,Carrera 15 #119-32/38,Centro comercial. Confecciones. Librería. Cambios.,Usaquén,-74.04267209999999,4.6995803
55,Floresta Outlet,Carrera 69 #98A-11/45,Centro comercial especializado en Outlets. Marcas reconocidas.,Suba,-74.0746236,4.6917871
