Agrupamiento_7,Values,Count,Column,All,prc
0.0,2.0,378,¿CUANTAS NOCHES DURMIO EN BOGOTA?,2194.0,17.22880583409298
0.0,3.0,284,¿CUANTAS NOCHES DURMIO EN BOGOTA?,2194.0,12.944393801276208
0.0,1.0,266,¿CUANTAS NOCHES DURMIO EN BOGOTA?,2194.0,12.123974475843209
1.0,2.0,820,¿CUANTAS NOCHES DURMIO EN BOGOTA?,3121.0,26.273630246715797
1.0,1.0,725,¿CUANTAS NOCHES DURMIO EN BOGOTA?,3121.0,23.229734059596282
1.0,3.0,512,¿CUANTAS NOCHES DURMIO EN BOGOTA?,3121.0,16.404998397949374
2.0,3.0,261,¿CUANTAS NOCHES DURMIO EN BOGOTA?,1883.0,13.860860329261815
2.0,2.0,253,¿CUANTAS NOCHES DURMIO EN BOGOTA?,1883.0,13.436006372809347
2.0,8.0,198,¿CUANTAS NOCHES DURMIO EN BOGOTA?,1883.0,10.51513542219862
3.0,3.0,327,¿CUANTAS NOCHES DURMIO EN BOGOTA?,1361.0,24.02645113886848
3.0,2.0,169,¿CUANTAS NOCHES DURMIO EN BOGOTA?,1361.0,12.417340191036002
3.0,4.0,166,¿CUANTAS NOCHES DURMIO EN BOGOTA?,1361.0,12.196914033798677
4.0,2.0,285,¿CUANTAS NOCHES DURMIO EN BOGOTA?,1616.0,17.636138613861384
4.0,3.0,240,¿CUANTAS NOCHES DURMIO EN BOGOTA?,1616.0,14.85148514851485
4.0,4.0,213,¿CUANTAS NOCHES DURMIO EN BOGOTA?,1616.0,13.180693069306932
5.0,3.0,371,¿CUANTAS NOCHES DURMIO EN BOGOTA?,2186.0,16.97163769441903
5.0,2.0,334,¿CUANTAS NOCHES DURMIO EN BOGOTA?,2186.0,15.279048490393413
5.0,4.0,279,¿CUANTAS NOCHES DURMIO EN BOGOTA?,2186.0,12.763037511436416
6.0,2.0,203,¿CUANTAS NOCHES DURMIO EN BOGOTA?,1379.0,14.720812182741117
6.0,3.0,190,¿CUANTAS NOCHES DURMIO EN BOGOTA?,1379.0,13.778100072516317
6.0,5.0,151,¿CUANTAS NOCHES DURMIO EN BOGOTA?,1379.0,10.949963741841914
7.0,2.0,369,¿CUANTAS NOCHES DURMIO EN BOGOTA?,1869.0,19.743178170144464
7.0,1.0,288,¿CUANTAS NOCHES DURMIO EN BOGOTA?,1869.0,15.409309791332262
7.0,3.0,249,¿CUANTAS NOCHES DURMIO EN BOGOTA?,1869.0,13.32263242375602
0.0,2.0,508,CUANTAS VECES VISITO BOGOTA EN EL ULTIMO AÑO,2194.0,23.15405651777575
0.0,1.0,413,CUANTAS VECES VISITO BOGOTA EN EL ULTIMO AÑO,2194.0,18.824065633546034
0.0,3.0,318,CUANTAS VECES VISITO BOGOTA EN EL ULTIMO AÑO,2194.0,14.494074749316319
1.0,2.0,755,CUANTAS VECES VISITO BOGOTA EN EL ULTIMO AÑO,3121.0,24.19096443447613
1.0,3.0,452,CUANTAS VECES VISITO BOGOTA EN EL ULTIMO AÑO,3121.0,14.482537648189684
1.0,0.0,440,CUANTAS VECES VISITO BOGOTA EN EL ULTIMO AÑO,3121.0,14.098045498237743
2.0,2.0,462,CUANTAS VECES VISITO BOGOTA EN EL ULTIMO AÑO,1883.0,24.53531598513011
2.0,1.0,400,CUANTAS VECES VISITO BOGOTA EN EL ULTIMO AÑO,1883.0,21.242697822623473
2.0,3.0,290,CUANTAS VECES VISITO BOGOTA EN EL ULTIMO AÑO,1883.0,15.400955921402018
3.0,0.0,1348,CUANTAS VECES VISITO BOGOTA EN EL ULTIMO AÑO,1361.0,99.04481998530493
3.0,1.0,13,CUANTAS VECES VISITO BOGOTA EN EL ULTIMO AÑO,1361.0,0.9551800146950772
4.0,2.0,412,CUANTAS VECES VISITO BOGOTA EN EL ULTIMO AÑO,1616.0,25.495049504950494
4.0,1.0,389,CUANTAS VECES VISITO BOGOTA EN EL ULTIMO AÑO,1616.0,24.07178217821782
4.0,3.0,256,CUANTAS VECES VISITO BOGOTA EN EL ULTIMO AÑO,1616.0,15.841584158415841
5.0,2.0,527,CUANTAS VECES VISITO BOGOTA EN EL ULTIMO AÑO,2186.0,24.10795974382434
5.0,1.0,373,CUANTAS VECES VISITO BOGOTA EN EL ULTIMO AÑO,2186.0,17.06312900274474
5.0,0.0,332,CUANTAS VECES VISITO BOGOTA EN EL ULTIMO AÑO,2186.0,15.187557182067705
6.0,1.0,473,CUANTAS VECES VISITO BOGOTA EN EL ULTIMO AÑO,1379.0,34.30021754894852
6.0,2.0,444,CUANTAS VECES VISITO BOGOTA EN EL ULTIMO AÑO,1379.0,32.1972443799855
6.0,3.0,182,CUANTAS VECES VISITO BOGOTA EN EL ULTIMO AÑO,1379.0,13.19796954314721
7.0,2.0,397,CUANTAS VECES VISITO BOGOTA EN EL ULTIMO AÑO,1869.0,21.241305510968434
7.0,1.0,329,CUANTAS VECES VISITO BOGOTA EN EL ULTIMO AÑO,1869.0,17.60299625468165
7.0,3.0,268,CUANTAS VECES VISITO BOGOTA EN EL ULTIMO AÑO,1869.0,14.339218833600857
0.0,1.0,1875,¿CON CUANTAS PERSONAS VIAJA?,2194.0,85.46034639927073
0.0,2.0,222,¿CON CUANTAS PERSONAS VIAJA?,2194.0,10.118505013673655
0.0,50.0,50,¿CON CUANTAS PERSONAS VIAJA?,2194.0,2.2789425706472195
1.0,1.0,1061,¿CON CUANTAS PERSONAS VIAJA?,3121.0,33.99551425825056
